group_by	group_level	n_cells	feature_id	feature_name	target_class	validation_assay	validation_feature	mean_ADT_CLR	status	message	mean_RNA_lognormalized
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.0355977689465348	ok		0.0115558561685601
Adult_cHSPCs_Ultima_majority_voting	B	652	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.0562466758197277	ok		0
Adult_cHSPCs_Ultima_majority_voting	CLP	506	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.0223344840815607	ok		0.00151505330735201
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.00610649498621437	ok		0.00348525653197998
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.031218026227536	ok		0.00762796398188333
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.0159611491625528	ok		0.00783025820566948
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.00556667772121041	ok		0.0039849463616367
Adult_cHSPCs_Ultima_majority_voting	MKP	565	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.0190929008544432	ok		0.0053660032061754
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.0233783088423467	ok		0
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	mAOC0305	mAOC-CD8a	gene	RNA	CD8A	0.826864092450635	ok		0.143402919979738
Adult_cHSPCs_Ultima_majority_voting	B	652	mAOC0315	mAOC-CD3	gene	RNA	CD3E	0.200354265085517	ok		0.00417367892631336
Adult_cHSPCs_Ultima_majority_voting	CLP	506	mAOC0315	mAOC-CD3	gene	RNA	CD3E	0.02850471884601	ok		0.0723982482307995
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	mAOC0315	mAOC-CD3	gene	RNA	CD3E	0.0379219110817812	ok		0.00154986074042908
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	mAOC0315	mAOC-CD3	gene	RNA	CD3E	0.057557130506192	ok		0.00286116931476533
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	mAOC0315	mAOC-CD3	gene	RNA	CD3E	0.0560666130664088	ok		0.0165168913794364
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	mAOC0315	mAOC-CD3	gene	RNA	CD3E	0.0310412601557281	ok		0.000235111753024467
Adult_cHSPCs_Ultima_majority_voting	MKP	565	mAOC0315	mAOC-CD3	gene	RNA	CD3E	0.0717598709525484	ok		0.00565985914227876
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	mAOC0315	mAOC-CD3	gene	RNA	CD3E	0.0598056510159697	ok		0.00341466615368624
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	mAOC0315	mAOC-CD3	gene	RNA	CD3E	1.15085208855427	ok		0.521605418192987
Adult_cHSPCs_Ultima_majority_voting	B	652	mAOC0319	mAOC-CD79b	gene	RNA	CD79B	0.153962196716304	ok		0.676737702893963
Adult_cHSPCs_Ultima_majority_voting	CLP	506	mAOC0319	mAOC-CD79b	gene	RNA	CD79B	0.00613603003829838	ok		0.0440288589835161
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	mAOC0319	mAOC-CD79b	gene	RNA	CD79B	0.00370872059088701	ok		0.0114253162445307
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	mAOC0319	mAOC-CD79b	gene	RNA	CD79B	0.00910574350517136	ok		0.0230838495226803
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	mAOC0319	mAOC-CD79b	gene	RNA	CD79B	0.00538281431323727	ok		0.0242990814133045
